,Scenario,Trial,Inspection,Interval,Time,Defects,Rate
0,151,1,1,2,2,1,20
1,151,1,2,7,9,1,70
2,151,1,3,9,18,1,90
3,151,1,4,2,20,1,20
4,151,1,5,8,28,8,80
5,151,1,6,6,34,1,60
6,151,1,7,6,40,1,60
7,151,1,8,7,47,13,70
8,151,1,9,4,51,1,40
9,151,1,10,9,60,1,90
10,151,1,11,2,62,9,20
11,151,1,12,7,69,1,70
12,151,1,13,4,73,1,40
13,151,1,14,7,80,1,70
14,151,1,15,4,84,1,40
15,151,1,16,6,90,4,60
16,151,1,17,8,98,3,80
17,151,1,18,4,102,5,40
18,151,1,19,6,108,1,60
19,151,1,20,4,112,1,40
20,151,1,21,6,118,5,60
21,151,1,22,4,122,1,40
22,151,1,23,2,124,2,20
23,151,1,24,5,129,2,50
24,151,1,25,3,132,0,30
25,151,1,26,7,139,3,70
26,151,1,27,8,147,1,80
27,151,1,28,3,150,1,30
28,151,1,29,2,152,2,20
29,151,1,30,5,157,1,50
30,151,1,31,5,162,4,50
31,151,1,32,3,165,1,30
32,151,1,33,7,172,6,70
33,151,1,34,7,179,3,70
34,151,1,35,6,185,1,60
35,151,1,36,4,189,4,40
36,151,1,37,2,191,0,20
37,151,1,38,6,197,1,60
38,151,1,39,3,200,1,30
39,151,1,40,9,209,1,90
40,151,1,41,5,214,7,50
41,151,1,42,5,219,3,50
42,151,1,43,3,222,1,30
43,151,1,44,3,225,2,30
44,151,1,45,9,234,2,90
45,151,1,46,3,237,1,30
46,151,1,47,7,244,1,70
47,151,1,48,3,247,2,30
48,151,1,49,8,255,2,80
49,151,1,50,6,261,7,60
50,151,1,51,5,266,6,50
51,151,1,52,6,272,1,60
52,151,1,53,5,277,7,50
53,151,1,54,3,280,2,30
54,151,1,55,4,284,1,40
55,151,1,56,3,287,1,30
56,151,1,57,5,292,6,50
57,151,1,58,9,301,4,90
58,151,1,59,6,307,4,60
59,151,1,60,3,310,1,30
60,151,1,61,5,315,1,50
61,151,1,62,4,319,1,40
62,151,1,63,4,323,10,40
63,151,1,64,9,332,1,90
64,151,1,65,7,339,9,70
65,151,1,66,5,344,0,50
66,151,1,67,3,347,0,30
67,151,1,68,8,355,1,80
68,151,1,69,8,363,1,80
69,151,1,70,4,367,5,40
70,151,1,71,4,371,0,40
71,151,1,72,2,373,0,20
72,151,1,73,5,378,6,50
73,151,1,74,7,385,1,70
74,151,1,75,5,390,1,50
75,151,1,76,4,394,5,40
76,151,1,77,5,399,4,50
77,151,1,78,8,407,3,80
78,151,1,79,3,410,1,30
79,151,1,80,6,416,1,60
80,151,1,81,2,418,1,20
81,151,1,82,8,426,1,80
82,151,1,83,4,430,6,40
83,151,1,84,6,436,3,60
84,151,1,85,8,444,7,80
85,151,1,86,6,450,1,60
86,151,1,87,9,459,1,90
87,151,1,88,5,464,1,50
88,151,1,89,8,472,15,80
89,151,1,90,8,480,1,80
90,151,1,91,2,482,3,20
91,151,1,92,7,489,1,70
92,151,1,93,2,491,3,20
93,151,1,94,9,500,1,90
94,151,1,95,6,506,1,60
95,151,1,96,6,512,3,60
96,151,1,97,6,518,1,60
97,151,1,98,7,525,6,70
98,151,1,99,5,530,1,50
99,151,1,100,9,539,1,90
100,151,1,101,3,542,8,30
101,151,1,102,8,550,1,80
102,151,1,103,2,552,1,20
103,151,1,104,5,557,7,50
104,151,1,105,6,563,1,60
105,151,1,106,7,570,3,70
106,151,1,107,4,574,5,40
107,151,1,108,9,583,1,90
108,151,1,109,9,592,8,90
109,151,1,110,2,594,1,20
110,151,1,111,8,602,1,80
111,151,1,112,6,608,4,60
112,151,1,113,6,614,1,60
113,151,1,114,6,620,4,60
114,151,1,115,8,628,1,80
115,151,1,116,2,630,3,20
116,151,1,117,5,635,1,50
117,151,1,118,4,639,3,40
118,151,1,119,7,646,4,70
119,151,1,120,9,655,2,90
120,151,1,121,3,658,1,30
121,151,1,122,5,663,1,50
122,151,1,123,9,672,4,90
123,151,1,124,9,681,4,90
124,151,1,125,8,689,4,80
125,151,1,126,8,697,1,80
126,151,1,127,3,700,1,30
127,151,1,128,5,705,1,50
128,151,1,129,6,711,12,60
129,151,1,130,9,720,1,90
130,151,1,131,2,722,6,20
131,151,1,132,7,729,3,70
132,151,1,133,7,736,3,70
133,151,1,134,9,745,1,90
134,151,1,135,7,752,6,70
135,151,1,136,6,758,4,60
136,151,1,137,3,761,1,30
137,151,1,138,3,764,4,30
138,151,1,139,6,770,1,60
139,151,1,140,8,778,1,80
140,151,1,141,2,780,6,20
141,151,1,142,5,785,5,50
142,151,1,143,3,788,1,30
143,151,1,144,5,793,2,50
144,151,1,145,3,796,1,30
145,151,1,146,3,799,1,30
146,151,1,147,4,803,1,40
147,151,1,148,9,812,1,90
148,151,1,149,9,821,1,90
149,151,1,150,4,825,11,40
150,151,1,151,5,830,1,50
151,151,1,152,8,838,10,80
152,151,1,153,9,847,3,90
153,151,1,154,3,850,0,30
154,151,1,155,9,859,1,90
155,151,1,156,9,868,1,90
156,151,1,157,9,877,10,90
157,151,1,158,6,883,1,60
158,151,1,159,2,885,1,20
159,151,1,160,2,887,1,20
160,151,1,161,7,894,1,70
161,151,1,162,3,897,1,30
162,151,1,163,5,902,1,50
163,151,1,164,3,905,1,30
164,151,1,165,5,910,1,50
165,151,1,166,6,916,4,60
166,151,1,167,2,918,0,20
167,151,1,168,9,927,1,90
168,151,1,169,9,936,13,90
169,151,1,170,6,942,0,60
170,151,1,171,6,948,4,60
171,151,1,172,7,955,1,70
172,151,1,173,3,958,1,30
173,151,1,174,3,961,6,30
174,151,1,175,4,965,3,40
175,151,1,176,6,971,5,60
176,151,1,177,7,978,1,70
177,151,1,178,9,987,6,90
178,151,1,179,2,989,2,20
179,151,1,180,2,991,1,20
180,151,1,181,9,1000,5,90
181,151,1,182,8,1008,2,80
182,151,1,183,5,1013,3,50
183,151,1,184,8,1021,4,80
184,151,1,185,2,1023,2,20
185,151,1,186,8,1031,8,80
186,151,1,187,4,1035,0,40
187,151,1,188,5,1040,1,50
188,151,1,189,2,1042,1,20
189,151,1,190,7,1049,4,70
190,151,1,191,4,1053,1,40
191,151,1,192,4,1057,3,40
192,151,1,193,3,1060,1,30
193,151,1,194,2,1062,1,20
194,151,1,195,3,1065,1,30
195,151,1,196,6,1071,1,60
196,151,1,197,4,1075,3,40
197,151,1,198,5,1080,1,50
198,151,1,199,5,1085,3,50
199,151,1,200,7,1092,3,70
200,151,1,201,6,1098,1,60
201,151,1,202,7,1105,1,70
202,151,1,203,4,1109,7,40
203,151,1,204,7,1116,1,70
204,151,1,205,3,1119,2,30
205,151,1,206,3,1122,1,30
206,151,1,207,9,1131,1,90
207,151,1,208,3,1134,1,30
208,151,1,209,3,1137,1,30
209,151,1,210,8,1145,1,80
210,151,1,211,3,1148,1,30
211,151,1,212,6,1154,12,60
212,151,1,213,4,1158,5,40
213,151,1,214,9,1167,4,90
214,151,1,215,2,1169,1,20
215,151,1,216,9,1178,7,90
216,151,1,217,3,1181,0,30
217,151,1,218,2,1183,0,20
218,151,1,219,8,1191,1,80
219,151,1,220,6,1197,3,60
220,151,1,221,7,1204,3,70
221,151,1,222,8,1212,9,80
222,151,1,223,4,1216,1,40
223,151,1,224,5,1221,1,50
224,151,1,225,7,1228,3,70
225,151,1,226,7,1235,4,70
226,151,1,227,9,1244,10,90
227,151,1,228,4,1248,6,40
228,151,1,229,5,1253,1,50
229,151,1,230,9,1262,6,90
230,151,1,231,6,1268,1,60
231,151,1,232,4,1272,3,40
232,151,1,233,8,1280,5,80
233,151,1,234,3,1283,0,30
234,151,1,235,8,1291,4,80
235,151,1,236,8,1299,1,80
236,151,1,237,8,1307,14,80
237,151,1,238,8,1315,1,80
238,151,1,239,7,1322,1,70
239,151,1,240,4,1326,12,40
240,151,1,241,8,1334,3,80
241,151,1,242,9,1343,1,90
242,151,1,243,7,1350,8,70
243,151,1,244,6,1356,3,60
244,151,1,245,7,1363,2,70
245,151,1,246,3,1366,1,30
246,151,1,247,2,1368,1,20
247,151,1,248,4,1372,1,40
248,151,1,249,2,1374,1,20
249,151,1,250,6,1380,5,60
250,151,1,251,4,1384,2,40
251,151,1,252,2,1386,1,20
252,151,1,253,5,1391,1,50
253,151,1,254,2,1393,3,20
254,151,1,255,8,1401,5,80
255,151,1,256,4,1405,0,40
256,151,1,257,8,1413,1,80
257,151,1,258,3,1416,1,30
258,151,1,259,2,1418,1,20
259,151,1,260,3,1421,1,30
260,151,1,261,9,1430,1,90
261,151,1,262,8,1438,1,80
262,151,1,263,6,1444,1,60
263,151,1,264,8,1452,17,80
264,151,1,265,7,1459,1,70
265,151,1,266,7,1466,1,70
266,151,1,267,8,1474,8,80
267,151,1,268,6,1480,4,60
268,151,1,269,4,1484,2,40
269,151,1,270,8,1492,1,80
270,151,1,271,5,1497,1,50
271,151,1,272,5,1502,5,50
272,151,1,273,4,1506,1,40
273,151,1,274,7,1513,5,70
274,151,1,275,3,1516,1,30
275,151,1,276,3,1519,1,30
276,151,1,277,3,1522,1,30
277,151,1,278,6,1528,1,60
278,151,1,279,2,1530,1,20
279,151,1,280,7,1537,8,70
280,151,1,281,3,1540,5,30
281,151,1,282,9,1549,1,90
282,151,1,283,2,1551,4,20
283,151,1,284,4,1555,1,40
284,151,1,285,9,1564,6,90
285,151,1,286,7,1571,1,70
286,151,1,287,4,1575,4,40
287,151,1,288,6,1581,1,60
288,151,1,289,3,1584,3,30
289,151,1,290,2,1586,3,20
290,151,1,291,5,1591,1,50
291,151,1,292,7,1598,1,70
292,151,1,293,2,1600,4,20
293,151,1,294,9,1609,1,90
294,151,1,295,6,1615,1,60
295,151,1,296,2,1617,7,20
296,151,1,297,9,1626,1,90
297,151,1,298,6,1632,7,60
298,151,1,299,7,1639,3,70
299,151,1,300,3,1642,1,30
300,151,1,301,5,1647,1,50
301,151,1,302,7,1654,6,70
302,151,1,303,5,1659,5,50
303,151,1,304,2,1661,0,20
304,151,1,305,5,1666,1,50
305,151,1,306,2,1668,3,20
306,151,1,307,2,1670,1,20
307,151,1,308,8,1678,5,80
308,151,1,309,4,1682,1,40
309,151,1,310,8,1690,1,80
310,151,1,311,4,1694,2,40
311,151,1,312,7,1701,4,70
312,151,1,313,2,1703,0,20
313,151,1,314,6,1709,1,60
314,151,1,315,9,1718,1,90
315,151,1,316,8,1726,16,80
316,151,1,317,3,1729,1,30
317,151,1,318,2,1731,1,20
318,151,1,319,6,1737,1,60
319,151,1,320,5,1742,5,50
320,151,1,321,6,1748,1,60
321,151,1,322,6,1754,1,60
322,151,1,323,4,1758,4,40
323,151,1,324,9,1767,3,90
324,151,1,325,2,1769,1,20
325,151,1,326,4,1773,2,40
326,151,1,327,7,1780,3,70
327,151,1,328,9,1789,1,90
328,151,1,329,9,1798,1,90
329,151,1,330,9,1807,12,90
330,151,1,331,7,1814,1,70
331,151,1,332,5,1819,8,50
332,151,1,333,8,1827,4,80
333,151,1,334,2,1829,1,20
334,151,1,335,5,1834,1,50
335,151,1,336,2,1836,1,20
336,151,1,337,8,1844,10,80
337,151,1,338,6,1850,1,60
338,151,1,339,7,1857,2,70
339,151,1,340,2,1859,0,20
340,151,1,341,6,1865,1,60
341,151,1,342,5,1870,1,50
342,151,1,343,2,1872,1,20
343,151,1,344,3,1875,1,30
344,151,1,345,5,1880,0,50
345,151,1,346,7,1887,1,70
346,151,1,347,4,1891,1,40
347,151,1,348,4,1895,1,40
348,151,1,349,9,1904,1,90
349,151,1,350,9,1913,1,90
350,151,1,351,4,1917,15,40
351,151,1,352,6,1923,3,60
352,151,1,353,7,1930,5,70
353,151,1,354,7,1937,6,70
354,151,1,355,6,1943,2,60
355,151,1,356,3,1946,3,30
356,151,1,357,7,1953,2,70
357,151,1,358,3,1956,1,30
358,151,1,359,3,1959,1,30
359,151,1,360,2,1961,1,20
360,151,1,361,2,1963,1,20
361,151,1,362,6,1969,0,60
362,151,1,363,9,1978,8,90
363,151,1,364,7,1985,4,70
364,151,1,365,9,1994,1,90
365,151,1,366,8,2002,6,80
366,151,1,367,2,2004,1,20
367,151,1,368,9,2013,1,90
368,151,1,369,9,2022,9,90
369,151,1,370,3,2025,1,30
370,151,1,371,3,2028,1,30
371,151,1,372,9,2037,1,90
372,151,1,373,5,2042,8,50
373,151,1,374,6,2048,1,60
374,151,1,375,5,2053,3,50
375,151,1,376,9,2062,3,90
376,151,1,377,2,2064,1,20
377,151,1,378,8,2072,6,80
378,151,1,379,8,2080,8,80
379,151,1,380,8,2088,2,80
380,151,1,381,7,2095,1,70
381,151,1,382,4,2099,1,40
382,151,1,383,4,2103,5,40
383,151,1,384,2,2105,0,20
384,151,1,385,4,2109,1,40
